ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.5) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.6) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-2, 2=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-2, 2=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urbanization rate / % of population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,"BG17) Plan addressing female-driven innovation and women-owned businesses / Qualitative rating 0-1, 1=best",BG18) Internet access gender gap / Difference in percentage points,BG19) Mobile phone access gender gap / Difference in percentage points,BG20) Internet users (percent of population) / % of population,BG21) Male internet users / % of male population,BG22) Female internet users / % of female population,BG23) Male mobile phone subscribers / % of male population,BG24) Female mobile phone subscribers / % of female population,BG25) Total fixed line broadband subscribers / Number of subscriptions
DZ,Algeria,34.66748536,7.664688795,120.7057883,13.20754717,9.756097561,802.976346,2670.918191,58.94126179,4051.16786,4628.387499,67.42391735,31397.22651,98,90,30.49,2,0,0,100,96.86804009,84.12482569,3.276799843,2.041894549,4.369066458,65.3156,3474.73,9782.42,2,1,1,1,39.65517241,1,51.72413793,75.86206897,38,24.13793103,79.6084,7.8,1,0,2,39.65517241,50,36.20689655,36.20689655,58.82352941,2,2,0,0,1,1,1,1,1,0,2,170.49,41.32,71.935,3960,27.6,0.13,99.12467984,1.694094869,53,2.182,3.560830999,33,4.5,0.4227,7.937913,32.438041,0,-7,-8,42.94552688,60,53,90,82,3166907
AO,Angola,14.67,0.32540415,44.73497738,35.63218391,15.70346417,4817.972338,8653.828768,41.53393604,4989.958134,5992.195718,66.22867485,8484.281756,90,85,8,2,0,0.671591672,69,5.55336743,88.73208688,2.714931558,2.474448569,14.76922767,194.4,6270.08,5764.887368,2,1,1,2,48,2,48,82,29,36,71.16416,5,2,2,2,54,66,40,30,56.52173913,0,0,0,0,1,0,0,0,0,0,2,128.336,29.78,64.839,3330,42.7,9.6,43,1.343183345,16.74672,2.048,3.620774977,19,2.976494755,0.3376,5.951453,19.879505,0,-9.24,-8.2,13,11.8,8.7,69.84,61.64,96919
AR,Argentina,71.7575167,17.77735924,130,-5.405405405,-3.488372093,3418.941191,12825.59422,46.95087523,7331.597929,13361.51576,49.2486417,39406.90522,98,95,85,2,2,5.647165123,100,85.45630833,92.89123931,0.025502634,1.696978268,3.611483992,102.8582,3309.96,2225.78,2,2,2,2,38,3,56,86,45,36,98.08997,9.8,3,2,2,42,44,42,34,58.69565217,3,2,1,0,2,2,1,2,1,1,2,637.09,44.27,92.043,13040,42.4,0.3,98.8,2.258866049,55.51769,1.947,6.95996732,39,5.4,0.7335,30.359855,13.487422,0,4,3,70.96898082,70,74,83,86,7870222
AU,Australia,86.11467623,32.40416447,112.6886209,4.494382022,2.298850575,10666.15204,26509.62544,35.15384597,12524.5562,33570.01586,30.32111863,88659.77209,99.4,99.4,99,2,2,7.770643327,100,100,99.58412635,0.53721421,0.083260688,1.253499823,394.6365,3784.64,2727.66,2,2,2,2,48,3,58,80,92,36,100,13.2,3,2,2,56,36,26,16,68.75,4,2,1,1,2,2,1,2,1,1,0,1379.9,24.451,89.685,51360,34.7,0.3,100,10.22453069,100,1.435,9.091269841,77,8.1,0.9053,20.67949,3.62984,1,-4,-2,86.54472054,93,89,89,87,7923000
AT,Austria,88.79244791,28.74722124,130,11.49425287,0,10557.57223,37823.94501,26.44276422,12694.33976,31220.83455,30.27737508,147871.2433,99,98,98,2,2,4.649540858,100,100,99.17631506,0.148797202,0.15782546,0.837728237,216.2645,3602.18,3946.48,2,3,2,2,48,3,64,90,91,24,100,11.3,3,2,2,56,32,22,18,42,4,2,1,1,2,2,1,2,1,1,2,418.02,8.603,66.064,45440,30.5,0.5,100,0,100,1.274,8.424719888,75,7.8,0.8301,6.9534,1.616233,1,-10,0,87.93558659,97,87,93,93,2511200
BD,Bangladesh,14.5,4.430686241,88.12405929,125,24.28571429,15606.00898,13843.87622,24.4435823,4818.72496,8203.293344,41.08992535,11720.71926,99.49,92.55,65,2,2,0.060716454,93.23790928,72.59946757,78.48681014,1.512137872,1.644520824,3.50125883,21.7728,3433.7,5681.18,2,2,1,1,34,2,62,82,35,42,72.75872,5.2,3,0,0,56,62,44,34,67.39130435,2,1,1,0,2,2,1,2,1,1,2,249.7111,164.7,35.858,1470,32.4,2.7,80,0.121432908,82.26207,2.084,5.431442577,28,4.433916084,0.4862,21.43907,141.471794,1,-20,-17,18.246938,36,16,87,70,7296000
BE,Belgium,85.96845717,38.31345058,104.6525275,8.43373494,2.150537634,12459.51574,51266.48879,24.25550611,15357.8305,45200.54162,32.90983782,186980.9647,100,100,100,2,2,0.874967189,100,100,98.77387536,0.808966842,0.508253759,0.889863527,306.7401,3407.74,3699.8,2,3,2,2,64,3,40,76,88,22,100,11.4,3,3,2,50,38,28,24,47.91666667,4,2,1,1,2,2,1,2,1,1,2,493.73,11.429,97.942,41790,27.7,0,100,3.499868755,100,1.56,7.783263305,75,7.8,0.808,10.060745,1.311183,1,-7,-2,87.67968082,90,83,95,93,4378973
BJ,Benin,6.61,0.257997447,78.50112548,82.35294118,15.625,8554.238516,16556.64948,55.50521205,4117.818655,3628.518521,79.17824688,1700.116046,98,65,39.72,2,1,0.894774517,53.8,9.090051097,67.82927636,2.576900951,15.65877954,38.65351427,55.2,4921.28,5790.3,2,1,1,1,58,1,74,80,15,36,38.44714,3.5,3,2,2,46,54,48,30,58.69565217,0,0,0,0,1,2,1,1,1,0,1,9.2545,11.176,46.768,800,47.8,22.4,30,1.789549034,3.745480666,1.973,5.61407563,39,4.75236868,0.3264,0.628683,10.537975,0,-14,-10,11.99404791,31,17,74,64,28833
BW,Botswana,43.70095853,2.133867095,130,60,-5.813953488,6180.437308,5921.987434,47.80731639,7978.737976,13988.78933,55.42221393,18063.38427,98,84,65,2,0,4.366812227,69,31.61490077,95.4895587,5.101360463,6.111535523,4.932675248,88.8,4081.29,6800,2,2,0,1,50,3,67.85714286,78.57142857,43,25,88.22441,9.2,3,1,2,39.28571429,55.35714286,41.07142857,25,65.90909091,0,0,0,0,2,2,1,1,1,0,2,17.4065,2.29,68.7,6820,60.5,5.8,57.29846394,0,86.28159,1.659,7.807656396,61,4.75236868,0.4253,0.492787,1.811033,1,-18,5,39.36299738,48,30,81,86,48901
BR,Brazil,53.9074543,13.69881595,112.9965568,-3.076923077,-3.614457831,9677.81332,20624.52048,34.55074906,6997.013832,15021.12481,58.40748473,64130.44172,95.73,95.48,83.06,2,2,1.637283842,99.96,98.14057118,87.94231692,0.350155474,4.200394158,2.405949515,70.8891,2522.34,2314.52,2,3,2,2,60,3,68,96,62,22,92.58681,7.8,3,0,2,38,42,36,44,73.46938776,2,2,0,0,2,2,1,1,0,1,2,2055.1,207.661,86.194,8580,51.3,1.2,99.710902,2.070682507,76.24709488,2.16,6.857376284,37,5.9,0.7327,139.111185,70.456735,0,2,3,60.87254007,63,65,80,83,28670016
