"SDG_IND","Indicator","LOCATION2017","Country","TIME","Time","Value","Flag Codes","Flags"
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","ESP","Spain","2014","2014",51.2,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BRA","Brazil","2014","2014",27.2,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BRA","Brazil","2015","2015",26,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BRA","Brazil","2016","2016",24.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BRA","Brazil","2017","2017",23.5,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","NOR","Norway","2014","2014",77.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","NOR","Norway","2015","2015",68.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","NOR","Norway","2016","2016",59.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","NOR","Norway","2017","2017",62.9,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","POL","Poland","2014","2014",21.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","POL","Poland","2015","2015",21.2,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","POL","Poland","2016","2016",25.2,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","POL","Poland","2017","2017",26.9,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LTU","Lithuania","2014","2014",34.2,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LTU","Lithuania","2015","2015",31.7,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LTU","Lithuania","2016","2016",28.8,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LTU","Lithuania","2017","2017",30.8,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","ROU","Romania","2014","2014",12.2,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","MNE","Montenegro","2015","2015",15,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","MNE","Montenegro","2016","2016",21.7,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","MNE","Montenegro","2017","2017",28,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","RUS","Russian Federation","2014","2014",7.2,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","RUS","Russian Federation","2015","2015",8.4,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","RUS","Russian Federation","2016","2016",8.9,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","RUS","Russian Federation","2017","2017",10.5,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","GRC","Greece","2014","2014",53.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","GRC","Greece","2015","2015",54.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","GRC","Greece","2016","2016",56.1,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","SGP","Singapore","2014","2014",19.4,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","SGP","Singapore","2015","2015",26.6,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","SGP","Singapore","2016","2016",36.4,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","SGP","Singapore","2017","2017",36.4,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","SRB","Serbia","2014","2014",29.8,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","IRN","Iran (Islamic Republic of)","2015","2015",29.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","IRN","Iran (Islamic Republic of)","2017","2017",30,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","KAZ","Kazakhstan","2015","2015",10,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","KAZ","Kazakhstan","2016","2016",11.8,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","KAZ","Kazakhstan","2017","2017",13.7,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ISL","Iceland","2014","2014",58.2,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ISL","Iceland","2017","2017",54.8,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","SVN","Slovenia","2014","2014",36.5,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","NOR","Norway","2014","2014",54.3,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","NOR","Norway","2015","2015",54.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","NOR","Norway","2016","2016",49.5,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","NOR","Norway","2017","2017",51.2,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","NOR","Norway","2018","2018",81,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","HUN","Hungary","2014","2014",43.4,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","FIN","Finland","2014","2014",65.8,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","POL","Poland","2014","2014",38.5,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SRB","Serbia","2014","2014",46.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SRB","Serbia","2015","2015",47.3,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SRB","Serbia","2016","2016",53.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SRB","Serbia","2017","2017",53.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ESP","Spain","2014","2014",62.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ESP","Spain","2015","2015",57.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ESP","Spain","2016","2016",56,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","HRV","Croatia","2014","2014",55,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","HRV","Croatia","2015","2015",59.3,,
